"Trait","Model","LogLik","AICc","Rate_1_to_2","Rate_2_to_1","Delta_AICc","Weight"
"GF","ARD",-12917.199,25838.3982,0.0064,0.0077,0,0.9975
"LC","ARD",-9456.1232,18916.2466,0.0033,0.075,0,1
"PH","ARD",-5995.2344,11994.4694,0.0066,0.021,0,1
"RS","ER",-2230.0097,4462.0198,0.0078,0.0078,0,0.5475
"PT","ARD",-5863.5353,11731.0709,0.0025,0.0074,0,1
"LS","ARD",-5553.5625,11111.1253,0.0018,0.0057,0,1
"LM","ARD",-10656.6382,21317.2767,0.008,0.0154,0,1
"LV","ARD",-2950.7528,5905.5059,0.0014,0.0038,0,1
"SS","ARD",-7531.5177,15067.0356,0.0025,0.0075,0,1
"IF","ARD",-14455.0742,28914.1487,0.0132,0.0073,0,1
"OP","ARD",-3325.8342,6655.6686,8e-04,0.0032,0,1
"FS","ARD",-6834.1038,13672.2078,0.0022,0.0056,0,1
"PF","ARD",-5818.79,11641.5803,0.0023,0.0051,0,1
"FT","ARD",-5018.7924,10041.585,0.0022,0.0035,0,1
"FD","ARD",-5982.5103,11969.0207,0.0042,0.0022,0,1
