Trait_Type,Coefficient,Std_Error,Z_Value,P_Value,Significance
PF_S,-0.07078668300093015,0.0033050638888442573,-21.417644372884855,9.15005197891899e-102,***
PF_C,0.07078668300092807,0.00330506388884466,21.417644372881615,9.150051979555335e-102,***
OP_H,-0.08967228152877064,0.004251176580603794,-21.093520776790342,9.121392980534986e-99,***
OP_E,0.08967228152876856,0.0042511765806041955,21.09352077678786,9.121392981013858e-99,***
FS_A,0.09787363252755882,0.005252361878112676,18.63421348315924,1.6962941455340217e-77,***
FS_Z,-0.0978736325275588,0.005252361878112728,-18.634213483159055,1.6962941455398781e-77,***
PT_U,-0.07772614898805735,0.0045591596202221455,-17.048350016810804,3.5954013051421513e-65,***
PT_M,0.07772614898805166,0.004559159620222442,17.048350016808445,3.5954013052872428e-65,***
LV_R,-0.06788285074712952,0.004119348215130835,-16.479027069813636,5.1913568648112855e-61,***
LV_P,0.06788285074699481,0.0041193482151307085,16.47902706978144,5.1913568675755614e-61,***
LM_L,0.034869324762411974,0.0022455023583973035,15.528518432418604,2.224602322033387e-54,***
LM_E,-0.03486932476240867,0.002245502358397778,-15.528518432413852,2.2246023221982102e-54,***
IF_I,-0.03113683012820326,0.002271397248786001,-13.708227455521062,9.064529393773557e-43,***
IF_D,0.031136830128201832,0.0022713972487863015,13.708227455518617,9.064529394078878e-43,***
RS_T,-0.025931207787490713,0.0019181017606160076,-13.519203370713127,1.2047329548065265e-41,***
RS_F,0.02593120778748988,0.0019181017606164873,13.519203370709311,1.204732954869008e-41,***
LC_P,0.1319614221275354,0.010447551339721833,12.630846964667692,1.4273359077664087e-36,***
LC_A,-0.13196142212640305,0.010447551339711413,-12.630846964571907,1.4273359095039518e-36,***
FT_D,-0.03235806017575287,0.0034161314930097005,-9.472135437984731,2.741802221108029e-21,***
FT_F,0.03235806017557923,0.003416131493009643,9.472135437934062,2.7418022224382916e-21,***
PH_D,0.02810358680887639,0.0030792490265656985,9.126766483131913,7.057573756266581e-20,***
PH_E,-0.028103586808876216,0.0030792490265661066,-9.126766483130648,7.057573756349006e-20,***
GF_H,0.019878107759060053,0.002989019072722995,6.6503783600655,2.923405217509895e-11,***
GF_W,-0.019878107759061982,0.002989019072723318,-6.650378360065426,2.923405217511359e-11,***
LS_C,0.052673870715017286,0.010680356874753038,4.931845567776055,8.145630683493446e-7,***
LS_S,-0.052673870715009875,0.010680356874753633,-4.9318455677750865,8.145630683533829e-7,***
SS_U,0.01515585898242768,0.005077479409414558,2.984917861867839,0.0028365448038164343,**
SS_B,-0.01515585898242368,0.005077479409414208,-2.984917861867257,0.0028365448038218336,**
FD_I,-0.01098475292571207,0.004992663656390804,-2.200178838734942,0.02779420906023056,*
FD_D,0.010984752925709863,0.004992663656390877,2.2001788387344683,0.027794209060264165,*
