ECO_ID,BiomeType
10101,Trop/Subtrop Forests
10102,Trop/Subtrop Forests
10103,Trop/Subtrop Forests
10104,Trop/Subtrop Forests
10105,Trop/Subtrop Forests
10106,Trop/Subtrop Forests
10107,Trop/Subtrop Forests
10108,Trop/Subtrop Forests
10109,Trop/Subtrop Forests
10110,Trop/Subtrop Forests
10111,Trop/Subtrop Forests
10112,Trop/Subtrop Forests
10113,Trop/Subtrop Forests
10115,Trop/Subtrop Forests
10116,Trop/Subtrop Forests
10117,Trop/Subtrop Forests
10118,Trop/Subtrop Forests
10119,Trop/Subtrop Forests
10120,Trop/Subtrop Forests
10121,Trop/Subtrop Forests
10122,Trop/Subtrop Forests
10123,Trop/Subtrop Forests
10124,Trop/Subtrop Forests
10125,Trop/Subtrop Forests
10126,Trop/Subtrop Forests
10127,Trop/Subtrop Forests
10128,Trop/Subtrop Forests
10201,Trop/Subtrop Forests
10202,Trop/Subtrop Forests
10203,Trop/Subtrop Forests
10204,Trop/Subtrop Forests
10401,Temp Forests
10402,Temp Forests
10403,Temp Forests
10404,Temp Forests
10405,Temp Forests
10406,Temp Forests
10407,Temp Forests
10408,Temp Forests
10409,Temp Forests
10410,Temp Forests
10411,Temp Forests
10412,Temp Forests
10413,Temp Forests
10414,Temp Forests
10701,Grasslands
10702,Grasslands
10703,Grasslands
10704,Grasslands
10705,Grasslands
10706,Grasslands
10707,Grasslands
10708,Grasslands
10709,Grasslands
10801,Grasslands
10802,Grasslands
10803,Grasslands
11001,Grasslands
11002,Grasslands
11003,Grasslands
11101,Tundra
11201,Mediterranean Scrub
11202,Mediterranean Scrub
11203,Mediterranean Scrub
11204,Mediterranean Scrub
11205,Mediterranean Scrub
11206,Mediterranean Scrub
11207,Mediterranean Scrub
11208,Mediterranean Scrub
11209,Mediterranean Scrub
11210,Mediterranean Scrub
11301,Deserts & Drylands
11302,Deserts & Drylands
11303,Deserts & Drylands
11304,Deserts & Drylands
11305,Deserts & Drylands
11306,Deserts & Drylands
11307,Deserts & Drylands
11308,Deserts & Drylands
11309,Deserts & Drylands
11310,Deserts & Drylands
11401,Trop/Subtrop Forests
21103,Tundra
21104,Tundra
30101,Trop/Subtrop Forests
30102,Trop/Subtrop Forests
30103,Trop/Subtrop Forests
30104,Trop/Subtrop Forests
30105,Trop/Subtrop Forests
30106,Trop/Subtrop Forests
30107,Trop/Subtrop Forests
30108,Trop/Subtrop Forests
30109,Trop/Subtrop Forests
30110,Trop/Subtrop Forests
30111,Trop/Subtrop Forests
30112,Trop/Subtrop Forests
30113,Trop/Subtrop Forests
30114,Trop/Subtrop Forests
30115,Trop/Subtrop Forests
30116,Trop/Subtrop Forests
30117,Trop/Subtrop Forests
30118,Trop/Subtrop Forests
30119,Trop/Subtrop Forests
30120,Trop/Subtrop Forests
30121,Trop/Subtrop Forests
30122,Trop/Subtrop Forests
30123,Trop/Subtrop Forests
30124,Trop/Subtrop Forests
30125,Trop/Subtrop Forests
30126,Trop/Subtrop Forests
30127,Trop/Subtrop Forests
30128,Trop/Subtrop Forests
30129,Trop/Subtrop Forests
30130,Trop/Subtrop Forests
30201,Trop/Subtrop Forests
30202,Trop/Subtrop Forests
30203,Trop/Subtrop Forests
30701,Grasslands
30702,Grasslands
30703,Grasslands
30704,Grasslands
30705,Grasslands
30706,Grasslands
30707,Grasslands
30708,Grasslands
30709,Grasslands
30710,Grasslands
30711,Grasslands
30712,Grasslands
30713,Grasslands
30714,Grasslands
30715,Grasslands
30716,Grasslands
30717,Grasslands
30718,Grasslands
30719,Grasslands
30721,Grasslands
30722,Grasslands
30723,Grasslands
30724,Grasslands
30725,Grasslands
30726,Grasslands
30801,Grasslands
30802,Grasslands
30803,Grasslands
30902,Grasslands
30903,Grasslands
30904,Grasslands
30905,Grasslands
30906,Grasslands
30907,Grasslands
30908,Grasslands
31001,Grasslands
31002,Grasslands
31003,Grasslands
31004,Grasslands
31005,Grasslands
31006,Grasslands
31007,Grasslands
31008,Grasslands
31009,Grasslands
31010,Grasslands
31011,Grasslands
31012,Grasslands
31013,Grasslands
31014,Grasslands
31015,Grasslands
31201,Mediterranean Scrub
31202,Mediterranean Scrub
31203,Mediterranean Scrub
31301,Deserts & Drylands
31302,Deserts & Drylands
31303,Deserts & Drylands
31304,Deserts & Drylands
31305,Deserts & Drylands
31306,Deserts & Drylands
31307,Deserts & Drylands
31308,Deserts & Drylands
31309,Deserts & Drylands
31310,Deserts & Drylands
31311,Deserts & Drylands
31312,Deserts & Drylands
31313,Deserts & Drylands
31314,Deserts & Drylands
31315,Deserts & Drylands
31316,Deserts & Drylands
31318,Deserts & Drylands
31319,Deserts & Drylands
31320,Deserts & Drylands
31321,Deserts & Drylands
31322,Deserts & Drylands
31401,Trop/Subtrop Forests
31402,Trop/Subtrop Forests
31403,Trop/Subtrop Forests
31404,Trop/Subtrop Forests
31405,Trop/Subtrop Forests
40101,Trop/Subtrop Forests
40102,Trop/Subtrop Forests
40103,Trop/Subtrop Forests
40104,Trop/Subtrop Forests
40105,Trop/Subtrop Forests
40106,Trop/Subtrop Forests
40107,Trop/Subtrop Forests
40108,Trop/Subtrop Forests
40109,Trop/Subtrop Forests
40111,Trop/Subtrop Forests
40112,Trop/Subtrop Forests
40113,Trop/Subtrop Forests
40114,Trop/Subtrop Forests
40115,Trop/Subtrop Forests
40116,Trop/Subtrop Forests
40117,Trop/Subtrop Forests
40118,Trop/Subtrop Forests
40119,Trop/Subtrop Forests
40120,Trop/Subtrop Forests
40121,Trop/Subtrop Forests
40122,Trop/Subtrop Forests
40123,Trop/Subtrop Forests
40124,Trop/Subtrop Forests
40125,Trop/Subtrop Forests
40126,Trop/Subtrop Forests
40127,Trop/Subtrop Forests
40128,Trop/Subtrop Forests
40129,Trop/Subtrop Forests
40130,Trop/Subtrop Forests
40131,Trop/Subtrop Forests
40132,Trop/Subtrop Forests
