ECO_ID,Long,Lat,Area,Realm
-9998,-7.265806753,41.61355165,1038863.21,NT
10101,146.9378032,-2.097815983,2098.54,AA
10102,130.9250142,-7.345589543,7495.75,AA
10103,135.8119858,-0.949124555,2809.65,AA
10104,126.6387694,-3.43070822,8585.79,AA
10105,141.3599988,-5.033654433,171229.59,AA
10106,127.9601421,0.570242927,26744.53,AA
10107,146.7525844,-6.111033081,16449.57,AA
10108,136.1782766,-1.745065347,2406.68,AA
10109,159.0779484,-31.55655142,14.35,AA
10110,153.1130417,-11.21626149,1607.56,AA
10111,150.5754807,-5.011981583,34915.55,AA
10112,151.2617616,-5.177536945,12081.18,AA
10113,165.8322308,-21.29714554,14522.79,AA
10114,167.9532803,-29.03452905,41.57,AA
10115,141.3380986,-3.635223552,134636.22,AA
10116,139.8105268,-2.931838222,23183.68,AA
10117,147.2215033,-19.22888668,32595.65,AA
10118,129.369374,-3.243133805,19275.87,AA
10119,158.3430369,-8.148738555,35699.65,AA
10120,147.8303253,-8.833411293,77034.33,AA
10121,140.1549864,-6.714469278,99492.69,AA
10122,140.8159209,-6.369557104,122337.78,AA
10123,121.7752321,-2.16088524,115810.48,AA
10124,120.7942322,-2.040730257,75471.67,AA
10125,151.1663449,-9.433855679,4179.57,AA
10126,167.614255,-15.89963497,13155.56,AA
10127,133.1484791,-1.273560325,21850.67,AA
10128,133.351408,-2.80172587,77059.7,AA
10201,119.6750413,-8.572322,39280.95,AA
10202,165.2656062,-21.34630156,4408.35,AA
10203,119.9495327,-9.760739162,10720.73,AA
10204,125.0775006,-9.209027623,33382.02,AA
10401,-176.4857965,-43.93810539,805.92,AA
10402,151.762493,-29.56149369,221786.46,AA
10403,167.3381567,-45.39807612,11053.54,AA
10404,172.113518,-41.67196611,14596.77,AA
10405,176.0965966,-39.25345044,84500.43,AA
10406,174.6475776,-36.60860198,29938.6,AA
10407,167.8892608,-46.98832915,1695.03,AA
10408,173.3915913,-41.60007752,13216.08,AA
10409,146.9666198,-35.98487257,272353.12,AA
10410,168.4307176,-46.17431235,11714.08,AA
10411,146.7580886,-42.09398904,18730.07,AA
10412,147.5876411,-41.40953572,18236.87,AA
10413,145.9267925,-42.15022567,31316.87,AA
10414,169.697372,-43.56962635,5286.54,AA
10701,133.2938928,-12.96588817,157509.12,AA
10702,148.8482575,-24.4974932,341561.47,AA
10703,142.9568195,-13.91661838,115895.83,AA
10704,139.2040161,-17.45793959,358464.22,AA
10705,144.7839715,-18.49828294,128067.44,AA
10706,126.603529,-16.52411953,346656.01,AA
10707,141.1710153,-21.5018747,459496.1,AA
10708,141.4215871,-8.629660819,26618.18,AA
10709,130.8634757,-17.21671533,224881.42,AA
10801,170.6692608,-44.61180928,53593.88,AA
10802,145.2290233,-27.85138859,253515.46,AA
10803,146.8278752,-32.1090343,321998.84,AA
11001,147.7565303,-36.6744738,11999.43,AA
11002,140.4993644,-4.814071785,15502.73,AA
11003,170.4397879,-43.70213125,40006.35,AA
11101,166.797407,-51.45756194,877.69,AA
11201,122.0828368,-31.319217,137255.18,AA
11202,120.6343493,-33.15285422,115460.04,AA
11203,135.9885159,-33.48017081,60898.49,AA
11204,116.3150077,-34.58577059,10443.06,AA
11205,115.6857974,-31.527516,15214.05,AA
11206,138.4139547,-34.36356364,23779.27,AA
11207,142.1926616,-34.32740097,197879.91,AA
11208,140.3758514,-36.8900325,27518.38,AA
11209,116.7058438,-30.03303803,168703.88,AA
11210,116.5900589,-33.3972102,46026.09,AA
11301,114.5871112,-24.52340067,90287.73,AA
11302,131.9982905,-24.54897472,281050.76,AA
11303,126.0410175,-24.40220096,155523.51,AA
11304,128.130251,-21.43697616,820767.18,AA
11305,128.6920007,-28.4352223,423734.05,AA
11306,127.7977395,-30.67105768,195003.2,AA
11307,118.5594308,-21.92657756,179311.11,AA
11308,139.5539436,-26.20089858,583394.34,AA
11309,137.4431115,-30.37262206,376487.42,AA
11310,119.2425956,-26.58498521,459615.86,AA
11401,138.0840176,-5.088897514,26708.25,AA
21101,-100.2678313,-76.44408894,1155863.01,AN
21102,37.10047013,-74.87148205,2131855.83,AN
21103,-48.05566159,-58.95468188,8513.03,AN
