Trait,Variable,Std_Beta,Std_Error,P_Value,Significance
PC1,(Intercept),-0.0440588793580278,0.068181400403191,0.518149284736096,ns
PC1,AMT,1.28414146685458,0.120838916015662,2.23447552600326e-26,***
PC1,MDTR,-0.932646748940609,0.0733668313310994,5.06533517924629e-37,***
PC1,AP,0.659250993666896,0.082594923987872,1.44287746758366e-15,***
PC1,PS,-0.0705864483175471,0.0552979148071672,0.201787387135263,ns
PC1,SRAD,0.0127487163816214,0.100126096679651,0.898681900614172,ns
PC1,Wind,-0.515082280987202,0.0564647620902691,7.36214030052028e-20,***
PC1,AMTd,0.0830866241998232,0.0617508872089283,0.178459611897913,ns
PC1,APd,0.0510715542948814,0.051783588257443,0.32401054010936,ns
PC1,Elev,0.64974417574438,0.0752927814680259,6.15841429441849e-18,***
PC1,Slope,-0.37034976249347,0.0669409909073123,3.15732594221804e-08,***
PC1,Sand,0.18120748808336,0.0463516465757294,9.25226647322019e-05,***
PC1,SOC,-0.214262110175741,0.0438234201547626,1.01239029879722e-06,***
PC1,PH,0.0506167060767645,0.0531529187719563,0.340952664994303,ns
PC1,SpeciesNumber,2.97485803094531e-05,3.60118917141931e-05,0.408760652640567,ns
PC1,Area,-0.0186794083383717,0.0479065189908275,0.696600358916776,ns
PC2,(Intercept),-0.0580338043230131,0.0583374906329843,0.31983630936004,ns
PC2,AMT,1.18092720585053,0.103392407452422,3.2543021095338e-30,***
PC2,MDTR,0.42877302185493,0.062774258232298,8.46807432002698e-12,***
PC2,AP,-0.584953897695294,0.0706700152238128,1.26044706530568e-16,***
PC2,PS,0.04924601998332,0.0473140998572921,0.297953615929533,ns
PC2,SRAD,-0.187672082591563,0.0856700682682496,0.0284780196328446,*
PC2,Wind,0.110230588329595,0.0483124797973568,0.0225119461228883,*
PC2,AMTd,-0.402148603011155,0.0528354035385966,2.71253370413867e-14,***
PC2,APd,0.00203021903109719,0.0443071655472982,0.963452553856674,ns
PC2,Elev,0.151233411792485,0.0644221431013111,0.0188979588983284,*
PC2,Slope,0.307716590285956,0.0572761692620666,7.76496399332719e-08,***
PC2,Sand,-0.138898632251529,0.0396594779799857,0.000461293005061696,***
PC2,SOC,0.205730275453303,0.0374962724095657,4.09544009264783e-08,***
PC2,PH,0.0945894026723563,0.0454787945486313,0.0375386238961653,*
PC2,SpeciesNumber,3.91844575650038e-05,3.08125586029242e-05,0.203478268031207,ns
PC2,Area,-0.0161498170818207,0.0409898606710842,0.693584425843227,ns
PC3,(Intercept),0.41669078097574,0.0691163059140775,1.65146126871306e-09,***
PC3,AMT,0.649817744928761,0.122495863039991,1.1278806286764e-07,***
PC3,MDTR,-0.20843190541443,0.0743728396342745,0.0050703941896584,**
PC3,AP,-0.352409000577673,0.0837274681883555,2.5650220967787e-05,***
PC3,PS,0.48446668654484,0.0560561615575717,5.49849007559719e-18,***
PC3,SRAD,-0.702851425580379,0.101499028872534,4.36866936701424e-12,***
PC3,Wind,-0.43680934182229,0.0572390086873896,2.32357381401708e-14,***
PC3,AMTd,0.192324891099133,0.062597617320254,0.00212345290218577,**
PC3,APd,-0.0143675890209952,0.0524936464514528,0.784314035955883,ns
PC3,Elev,0.0992303476686028,0.0763251984601695,0.193566890070508,ns
PC3,Slope,-0.178887021877523,0.0678588878841027,0.00838496885414257,**
PC3,Sand,-0.348248952439903,0.0469872218142262,1.24815515253448e-13,***
PC3,SOC,-0.00944246571730336,0.0444243282729047,0.831676661967254,ns
PC3,PH,0.152785954865121,0.053881753269132,0.00457427354622303,**
PC3,SpeciesNumber,-0.000281349851441626,3.65056879081984e-05,1.28795575422503e-14,***
PC3,Area,0.0510959335076528,0.0485634146888778,0.29273133275346,ns
