Trait,Variable,Std_Beta,Std_Error,P_Value,Significance
PC1,(Intercept),5.10589706544567e-17,0.0475040050474463,1,ns
PC1,EnvPC1,1.43978504063189,0.0558599288512674,1.69477942470785e-146,***
PC1,EnvPC2,-1.1034671538487,0.0673234092401032,2.23444101058956e-60,***
PC1,PD,0.404755793566439,0.0825528934000738,9.43900561852197e-07,***
PC1,MDT,0.41142288771638,0.0785791226548748,1.64290810236024e-07,***
PC1,MPD,0.250203273289424,0.0654478513660481,0.000131869350106594,***
PC1,Area,-0.0479163591902367,0.0494499924511721,0.332552085527338,ns
PC2,(Intercept),5.75844645639124e-16,0.038476476778681,0.999999999999988,ns
PC2,EnvPC1,0.852012168824491,0.0452444641911318,4.1834771368906e-79,***
PC2,EnvPC2,0.275957427067629,0.0545294568258237,4.17711796002631e-07,***
PC2,PD,0.306630432104082,0.0668647724070493,4.52187956497339e-06,***
PC2,MDT,-0.0240538524539593,0.0636461659411579,0.705481930762638,ns
PC2,MPD,-0.65355404640767,0.0530103247249391,6.3378334427255e-35,***
PC2,Area,-0.140367298302319,0.0400526541783812,0.00045734668777684,***
PC3,(Intercept),-6.52971027877674e-16,0.0522274177532133,0.99999999999999,ns
PC3,EnvPC1,-0.0750465272017502,0.0614141868010079,0.221717535089241,ns
PC3,EnvPC2,0.389558821455775,0.0740175026388095,1.41674566785617e-07,***
PC3,PD,-0.191820635693086,0.0907612830967792,0.0345611378961552,*
PC3,MDT,0.344659032734303,0.0863923928409426,6.62237650181896e-05,***
PC3,MPD,0.310282093981874,0.0719554545123248,1.61680979904127e-05,***
PC3,Area,0.158925269036397,0.0543668983501722,0.00346454889337452,**
