Trait,R2_m,R2_c,ICC_Phylo,ICC_Space,Var_Fixed,Var_Phylo,Var_Space,Var_Resid,LogLik
GF_H,0.792142773652844,0.824900999181606,0.0787998235722892,0.0787998235722892,0.729791684532037,0.0150898811338479,0.0150898811338479,0.161316619954592,-376.827043897387
LC_A,0.551216465281114,0.75175926265213,0.35748690735124,0.08937172683781,0.406259142291753,0.118243702769202,0.0295609256923004,0.18295910116797,-550.625299849686
PH_D,0.731971017445439,0.850802446659968,0.354682327506396,0.0886705818765991,0.890564975702931,0.115662621987975,0.0289156554969937,0.181523738370019,-546.111592507817
RS_T,0.612488167892477,0.760790297769348,0.306162790581779,0.0765406976454448,0.401203947893993,0.0777150033019202,0.0194287508254801,0.156691805557184,-466.44508454755
PT_U,0.668887674263636,0.701483133082033,0.0196884599483922,0.0787538397935689,0.0903129302550288,0.000880205006658946,0.00352082002663579,0.0403056208377463,85.7824222464415
LS_C,0.382582228093334,0.545705051009215,0.132100848354379,0.132100848354379,0.0569359233056521,0.0121379769536424,0.0121379769536424,0.0676082172002363,-143.30687857507
LM_L,0.697127033776487,0.722412201928371,0.0417422004795629,0.0417422004795629,0.214605456854899,0.00389192700897874,0.00389192700897874,0.0854533726798599,-147.955496671249
LV_P,0.609036270934109,0.715468422132844,0.136115121795348,0.136115121795348,0.149112117916602,0.0130290462465579,0.0130290462465579,0.0696626920509213,-156.315204442078
SS_B,0.43901332017125,0.503765154752268,0.0230849811267476,0.0923399245069905,0.0418093901705969,0.00123332691372721,0.00493330765490883,0.0472588764575871,29.1255710636185
IF_I,0.558051931832036,0.593848406327986,0.0647976123427152,0.0161994030856788,0.0455658351679364,0.00233827163880025,0.000584567909700062,0.0331629289584179,153.905528428375
OP_H,0.492778081040661,0.558371415723081,0.103455047553145,0.0258637618882863,0.0590799023357279,0.00629126652505037,0.00157281663126259,0.0529475125448879,-12.0529240810913
FS_Z,0.209280872825517,0.238947471986348,0.0187592522687797,0.0187592522687797,0.0105604955353998,0.000748501245619448,0.000748501245619448,0.0384033749275961,121.950592613767
PF_C,0.578528425748715,0.610631489080781,0.0609351904960045,0.0152337976240011,0.0463367881089472,0.00205701608019127,0.000514254020047818,0.031186170607625,175.115398614927
FT_D,0.817456986165229,0.86565430242603,0.211226122537569,0.0528065306343922,0.657783008938549,0.0310263426693711,0.00775658566734277,0.108103935355312,-292.49145291755
FD_D,0.347803237031474,0.393342690477709,0.013964943106727,0.0558597724269081,0.0163901611750089,0.000429207610703211,0.00171683044281284,0.0285886099449035,204.947055232896
