Trait,Target_State,NTips,Mean_Depth,P_Value,Mean_Random_Depth,N_Positive_Clades
OP,OP_E,58243,12.3465,0,2.4605,370
FT,FT_F,59158,11.0147,0,2.2637,888
FD,FD_I,57750,9.6991,0,2.546,1098
RS,RS_F,10125,8.8185,0,2.7282,400
PH,PH_D,18611,7.2412,0,3.6526,1714
PT,PT_M,50712,7.0357,0,2.39,1080
LS,LS_C,58712,6.7613,0,2.2138,901
IF,IF_I,58570,6.7169,0,2.9103,2604
PF,PF_S,56543,6.6632,0,2.3137,1000
FS,FS_Z,60451,6.5756,0,2.3836,1149
SS,SS_U,58994,6.4415,0,2.2975,1452
LM,LM_L,37627,6.059,0,2.7109,2248
GF,GF_H,60434,5.0039,0,2.7717,2491
LV,LV_P,37267,3.987,0,2.4657,348
LC,LC_A,57460,3.4377,0,2.2259,2352
