Ref_ID,Source,Database Code in Data,Category,Website Link,Authors or Editors,Publisher or Institution,Reference,Reference Link
Ref1,Flora of North America,eFloras,Floras,http://www.efloras.org/,Flora of North America Editorial Committee,Oxford University Press,"Brach, Anthony & Song, Hong. (2006). eFloras: New Directions for Online Floras Exemplified by the Flora of China Project. Taxon. 55. 188. 10.2307/25065540. ",https://doi.org/10.2307/25065540
Ref2,Flora of China,eFloras,Floras,http://www.efloras.org/,"Wu, Z.Y., Raven, P.H. & Hong, D.Y.",Science Press; Missouri Botanical Garden Press,"Brach, Anthony & Song, Hong. (2006). eFloras: New Directions for Online Floras Exemplified by the Flora of China Project. Taxon. 55. 188. 10.2307/25065540. ",https://doi.org/10.2307/25065540
Ref3,Flora of Chile,eFloras,Floras,http://www.efloras.org/,"Marticorena, C. & Rodríguez, R.",Universidad de Concepción,"Brach, Anthony & Song, Hong. (2006). eFloras: New Directions for Online Floras Exemplified by the Flora of China Project. Taxon. 55. 188. 10.2307/25065540.",https://doi.org/10.2307/25065540
Ref4,Flora of Pakistan,eFloras,Floras,http://www.efloras.org/,"Nasir, E. & Ali, S.I.",University of Karachi; Agricultural Research Council,"Brach, Anthony & Song, Hong. (2006). eFloras: New Directions for Online Floras Exemplified by the Flora of China Project. Taxon. 55. 188. 10.2307/25065540.",https://doi.org/10.2307/25065540
Ref5,Trees and shrubs of the Andes of Ecuador,eFloras,Floras,http://www.efloras.org/,"Ulloa Ulloa, C. & Jørgensen, P.M.",Missouri Botanical Garden Press,"Brach, Anthony & Song, Hong. (2006). eFloras: New Directions for Online Floras Exemplified by the Flora of China Project. Taxon. 55. 188. 10.2307/25065540.",https://doi.org/10.2307/25065540
Ref6,Araceae Ecuador,eFloras,Floras,http://www.efloras.org/,Missouri Botanical Garden,Missouri Botanical Garden Press,"Brach, Anthony & Song, Hong. (2006). eFloras: New Directions for Online Floras Exemplified by the Flora of China Project. Taxon. 55. 188. 10.2307/25065540.",https://doi.org/10.2307/25065540
Ref7,Chinese Plant Names,eFloras,Floras,http://www.efloras.org/,"Meyer, F.N.",Chinese & Japanese Publications,"Brach, Anthony & Song, Hong. (2006). eFloras: New Directions for Online Floras Exemplified by the Flora of China Project. Taxon. 55. 188. 10.2307/25065540.",https://doi.org/10.2307/25065540
Ref8,Moss Flora of China,eFloras,Floras,http://www.efloras.org/,"Gao, C. & Crosby, M.R.",Science Press; Missouri Botanical Garden Press,"Brach, Anthony & Song, Hong. (2006). eFloras: New Directions for Online Floras Exemplified by the Flora of China Project. Taxon. 55. 188. 10.2307/25065540.",https://doi.org/10.2307/25065540
Ref9,Flora of Australia Online,Flora_of_Australia_Online,Floras,https://profiles.ala.org.au/opus/foa,Australian Biological Resources Study,Department of the Environment and Heritage,"Flora of Australia Online. Australian Biological Resources Study, Canberra.",NA
Ref10,Brazilian Flora 2020,World_Flora_Online,Floras,https://www.worldfloraonline.org/,The Brazil Flora Group,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373. ",https://doi.org/10.1002/tax.12373
