ECO_ID,SpeciesNumber,SizeCategory,BiomeType,GF_H,GF_W,LC_A,LC_P,PH_D,PH_E,RS_F,RS_T,PT_M,PT_U,LS_C,LS_S,LM_E,LM_L,LV_P,LV_R,SS_B,SS_U,IF_D,IF_I,OP_E,OP_H,FS_A,FS_Z,PF_C,PF_S,FT_D,FT_F,FD_D,FD_I,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
10101,140,"[31, 565]",Trop/Subtrop Forests,-0.835169265,0.835169265,-4.16065658,4.16065658,-1.89887433,1.89887433,0.801367601,-0.801367601,-0.975258428,0.975258428,-1.418767365,1.418767365,1.373625156,-1.373625156,-0.835169265,0.835169265,0.483051149,-0.483051149,-0.904174476,0.904174476,-1.08641492,1.08641492,1.124842858,-1.124842858,0.975258428,-0.975258428,0.187221972,-0.187221972,-0.362926038,0.362926038,3.571505835,-3.117058295,1.989622756,-0.88497633,0.78442523,1.27003802,0.356422415,0.380216609,-0.730535301,-0.364932172,0.225884558,0.378292788,0.307034687,-0.497522914,0.206877948
10103,48,"[31, 565]",Trop/Subtrop Forests,-1.067874352,1.067874352,-3.783733682,3.783733682,-2.119994033,2.119994033,0.756024939,-0.756024939,-1.91515547,1.91515547,-0.756024939,0.756024939,1.579466698,-1.579466698,-0.299496577,0.299496577,-0.213144566,0.213144566,-0.959183701,0.959183701,-1.067874352,1.067874352,1.067874352,-1.067874352,1.436389027,-1.436389027,0.475935742,-0.475935742,0.299496577,-0.299496577,2.40090312,-3.706633645,3.439311912,-3.08832246,-0.510481237,2.750973567,3.774569743,0.140631167,-1.402053894,0.265945478,1.411168953,-0.680443005,0.362793475,-0.493047528,0.170265274
10105,3073,"(1770, 12201]",Trop/Subtrop Forests,-0.429279641,0.429279641,-3.358177633,3.358177633,-1.33559312,1.33559312,0.58319981,-0.58319981,-0.980451418,0.980451418,-2.123085373,2.123085373,1.273552921,-1.273552921,-0.852841593,0.852841593,0.833039867,-0.833039867,-0.487795254,0.487795254,-0.391634928,0.391634928,0.742571552,-0.742571552,0.656464218,-0.656464218,0.577165044,-0.577165044,-0.081273554,0.081273554,2.849725677,-2.142992399,-1.04521003,-0.564029173,-0.303201417,0.290302934,0.444993032,0.522548737,0.087054578,0.661877392,0.1864043,-0.497269464,-0.074992145,0.12182873,0.007524405
10106,655,"(565, 1770]",Trop/Subtrop Forests,-1.562153975,1.562153975,-4.077623485,4.077623485,-1.878137714,1.878137714,0.084653682,-0.084653682,-0.846143227,0.846143227,-1.640693603,1.640693603,1.497905396,-1.497905396,-1.675663628,1.675663628,0.455814776,-0.455814776,-0.141239601,0.141239601,-0.976392385,0.976392385,1.406171196,-1.406171196,0.57632743,-0.57632743,-0.040740491,0.040740491,-0.383789999,0.383789999,5.288219662,-0.528727683,2.240615736,0.713682707,-0.523866742,0.275277691,-0.068285171,-0.686641123,-0.05815105,0.274359201,-0.0075258,-0.592093357,0.252545215,-0.164300937,0.098584451
10107,564,"[31, 565]",Trop/Subtrop Forests,-0.911533346,0.911533346,-3.152462786,3.152462786,-1.265517209,1.265517209,0.152662828,-0.152662828,-0.892979505,0.892979505,-1.60921852,1.60921852,1.157776863,-1.157776863,-1.392084843,1.392084843,0.612706071,-0.612706071,-0.513825333,0.513825333,-0.68025025,0.68025025,0.97767149,-0.97767149,0.802264996,-0.802264996,0.385626343,-0.385626343,-0.361963361,0.361963361,3.233219944,-0.984381485,1.126058628,0.339368909,0.501201873,0.814755612,0.198797464,0.137574166,-0.284492701,0.791749034,-0.3169976,-0.714463418,-0.221924224,0.03956493,0.161921403
10109,229,"[31, 565]",Trop/Subtrop Forests,0.044363007,-0.044363007,-1.98526708,1.98526708,-0.711667773,0.711667773,-0.133264073,0.133264073,-0.813935207,0.813935207,-1.865483343,1.865483343,0.612854626,-0.612854626,-1.125705342,1.125705342,0.731822797,-0.731822797,-0.516862574,0.516862574,-0.813935207,0.813935207,1.328123384,-1.328123384,0.204748676,-0.204748676,0.855972869,-0.855972869,-0.276758653,0.276758653,1.874338019,-0.097120023,0.499762195,2.291714345,-0.434920079,-0.599337131,0.399962651,-0.116670901,-0.847238128,0.044719379,-0.075170487,-0.183557237,0.759871606,-0.411491625,0.101674204
10110,131,"[31, 565]",Trop/Subtrop Forests,-1.325633454,1.325633454,-4.731705284,4.731705284,-2.362222934,2.362222934,0.391757929,-0.391757929,-0.588951799,0.588951799,-1.750446898,1.750446898,1.421607957,-1.421607957,-1.471773731,1.471773731,0.359706351,-0.359706351,0.077403273,-0.077403273,-0.691650548,0.691650548,1.523568094,-1.523568094,0.327836549,-0.327836549,0.327836549,-0.327836549,0.077403273,-0.077403273,6.149774527,-0.573661826,1.055262572,0.452161491,-2.397757303,0.215576501,0.403252555,0.325490455,-0.441996289,-0.663518367,0.52230183,-0.604244826,0.389649242,-0.382130075,0.223680796
10111,639,"(565, 1770]",Trop/Subtrop Forests,-1.313710597,1.313710597,-3.960108061,3.960108061,-1.631857409,1.631857409,0.187268701,-0.187268701,-0.845397622,0.845397622,-1.562877188,1.562877188,1.352708892,-1.352708892,-1.486138907,1.486138907,0.44503663,-0.44503663,-0.404633507,0.404633507,-1.095952713,1.095952713,1.15689897,-1.15689897,0.689238192,-0.689238192,0.318154849,-0.318154849,-0.351259324,0.351259324,4.262784481,-0.917664313,2.075829342,0.127758706,-0.006612075,0.641220929,0.185538113,-0.205731073,0.018443419,0.033406628,-0.466540706,-0.396341842,0.240282324,-0.182710883,0.232053989
10112,182,"[31, 565]",Trop/Subtrop Forests,-0.953301567,0.953301567,-4.932267412,4.932267412,-1.604655121,1.604655121,0.556021124,-0.556021124,-0.477044995,0.477044995,-1.793125717,1.793125717,1.561074473,-1.561074473,-0.892751349,0.892751349,0.833699453,-0.833699453,-0.049294127,0.049294127,-0.348473091,0.348473091,0.863048164,-0.863048164,0.42520804,-0.42520804,0.348473091,-0.348473091,-0.049294127,0.049294127,4.862832372,-1.237977268,-0.92193569,-0.646376895,-0.836792578,0.496106572,-0.495856327,1.261105857,0.498732981,-0.389864178,0.642182102,-1.167629276,0.736858172,0.20777555,0.134524461
10113,2815,"(1770, 12201]",Trop/Subtrop Forests,-1.048008179,1.048008179,-3.657179507,3.657179507,-2.028492467,2.028492467,0.314644672,-0.314644672,-0.732906526,0.732906526,-2.201562061,2.201562061,2.044004763,-2.044004763,-1.249557952,1.249557952,0.941499574,-0.941499574,0.028516332,-0.028516332,-0.612507125,0.612507125,1.177790318,-1.177790318,0.416196016,-0.416196016,0.300048063,-0.300048063,-0.141222106,0.141222106,5.087265684,-0.936697967,-0.330943992,-0.381729814,-1.050701757,-1.06960797,-0.564022455,-0.620346381,-0.168043125,0.321754063,0.415964955,-0.99627756,0.243935799,0.007746075,-0.160567437
10115,1976,"(1770, 12201]",Trop/Subtrop Forests,-0.984968469,0.984968469,-2.993806528,2.993806528,-1.32090918,1.32090918,0.236717423,-0.236717423,-0.974507494,0.974507494,-1.610252729,1.610252729,1.417221181,-1.417221181,-1.397510332,1.397510332,0.496776401,-0.496776401,-0.428908537,0.428908537,-1.065092058,1.065092058,1.076011065,-1.076011065,0.649919436,-0.649919436,0.353427981,-0.353427981,-0.327786963,0.327786963,3.520087588,-0.873316595,1.662426273,0.104848425,0.35073239,0.094978373,0.686367494,-0.362491406,-0.138854858,0.168425211,-0.262760839,-0.400626094,0.026011165,0.046032591,0.029709542
10116,295,"[31, 565]",Trop/Subtrop Forests,-1.021392733,1.021392733,-3.625366048,3.625366048,-1.785949842,1.785949842,0.243569465,-0.243569465,-1.13428926,1.13428926,-1.213325324,1.213325324,1.404932894,-1.404932894,-0.949360734,0.949360734,0.449386248,-0.449386248,-0.434421555,0.434421555,-0.914195864,0.914195864,0.761960825,-0.761960825,0.649195727,-0.649195727,0.419504601,-0.419504601,-0.014257441,0.014257441,3.202027971,-0.806941806,1.051381802,-1.32031261,0.045958271,1.252127879,1.503114035,0.165830089,0.194243103,-0.040141925,0.409602963,-0.944513454,0.522403037,-0.536427399,0.141598041
10117,3618,"(1770, 12201]",Trop/Subtrop Forests,-0.347314153,0.347314153,-2.417601387,2.417601387,-1.035456736,1.035456736,0.302891389,-0.302891389,-1.050229617,1.050229617,-1.66582138,1.66582138,1.33909897,-1.33909897,-1.038402974,1.038402974,1.105832059,-1.105832059,-0.592924779,0.592924779,-0.924971091,0.924971091,0.770380188,-0.770380188,0.648005246,-0.648005246,0.733773352,-0.733773352,-0.082026894,0.082026894,1.732669307,-0.679386073,-0.011213514,-1.028944634,0.397646183,-0.079602196,0.210969483,-0.036743464,-0.318319202,0.409286813,0.251581194,-0.079552137,0.017226864,0.042995182,-0.038899628
10118,95,"[31, 565]",Trop/Subtrop Forests,-0.774130756,0.774130756,-4.423859107,4.423859107,-1.798610375,1.798610375,0.486690818,-0.486690818,-1.095952713,1.095952713,-1.890631897,1.890631897,1.798610375,-1.798610375,-1.215080991,1.215080991,0.440921966,-0.440921966,-0.774130756,0.774130756,-0.57980399,0.57980399,0.350682014,-0.350682014,0.929418957,-0.929418957,1.095952713,-1.095952713,0.395603202,-0.395603202,3.03592168,-1.927397653,-0.67894693,-2.995388331,-1.077620145,2.013151036,1.532589858,0.397325661,0.105272666,0.263984206,-1.312484161,-0.905414332,-0.471680389,0.216565734,-0.364981881
