ECO_ID,SpeciesCount,BiomeType,GF_H,LC_A,PH_D,RS_T,PT_U,LS_C,LM_L,LV_P,SS_B,IF_I,OP_H,FS_Z,PF_C,FT_D,FD_D,SizeCategory,sPC1,sPC2,sPC3
10105,2402.333333,Trop/Subtrop Forests,-0.45088753,-3.322590964,-1.634425673,-1.881348987,0.984971454,-2.136496876,-1.126598978,-0.628387798,0.802195002,0.478486044,0.343788745,-0.800420688,0.508753918,0.533238219,-0.195941399,"(1652, 9633]",3.71055756201405,1.44955699163002,1.76494982774786
10106,528.7333333,Trop/Subtrop Forests,-1.580181713,-3.961662641,-2.118681568,-2.160464586,0.830329379,-1.604655119,-1.158986265,-1.639737938,0.435628537,0.157151828,0.956821504,-1.357344139,0.446843667,-0.134161139,-0.542476319,"[57, 670]",6.18858093777138,3.13767631627485,-1.20444281006749
10107,436.9333333,Trop/Subtrop Forests,-0.898112838,-3.084059285,-1.556373469,-1.865483346,0.880862056,-1.677153071,-0.954985731,-1.247882202,0.562284394,0.475179278,0.621469917,-0.988463401,0.587212474,0.36403171,-0.497210806,"[57, 670]",4.36254074995477,2.31305332510408,-0.278722591379309
10109,193.1333333,Trop/Subtrop Forests,0.01750929,-1.949535619,-1.183618726,0.309525914,0.861353661,-1.880649239,-0.304762617,-0.970200386,0.823903973,0.595258035,0.78937911,-1.343931316,0.107205424,0.907742016,-0.273448209,"[57, 670]",1.94730851484431,0.991830209468124,-0.512731791527328
10111,519.1333333,Trop/Subtrop Forests,-1.37853269,-3.944412642,-2.064495214,-2.215533217,0.846997052,-1.628247687,-1.092624887,-1.419340718,0.410116135,0.315030418,1.089459611,-1.144993816,0.576981754,0.250807522,-0.487951614,"[57, 670]",5.41654711565083,3.11113503013395,-0.81247948231315
10113,2099.933333,Trop/Subtrop Forests,-1.142315321,-3.647749632,-2.112800908,-1.62651924,0.853034462,-2.230151007,-1.650126981,-1.199379408,0.91910416,0.046196829,0.628180574,-1.214678053,0.364329704,0.153841776,-0.381465193,"(1652, 9633]",5.60576878620878,1.57858628731631,0.854917766397155
10115,1598.733333,Trop/Subtrop Forests,-1.003495399,-2.943879439,-1.682876571,-1.301542555,0.970183926,-1.633840216,-1.073851849,-1.288628329,0.471926998,0.371787416,1.051768787,-1.054049936,0.527738813,0.312084651,-0.490801061,"(670, 1652]",4.28437531152254,2.27990255434398,-0.772169953925935
10117,2949.866667,Trop/Subtrop Forests,-0.367771787,-2.354010576,-1.647377857,-1.356127443,1.095952713,-1.702643452,-0.998933135,-0.82638787,1.124295126,0.606728621,0.896930898,-0.76990484,0.644946674,0.682395882,-0.208236987,"(1652, 9633]",2.41453021664517,0.65704161396623,0.769423961500316
10119,587.8666667,Trop/Subtrop Forests,-0.396253265,-3.555632663,-1.921192288,-2.202052789,1.161035141,-2.212377959,-1.348465517,-0.385737099,0.726653441,0.379537389,0.261576076,-0.49556617,0.830125338,0.633869893,0.065958102,"[57, 670]",3.50819814881518,1.2860557580887,2.83603784324338
10120,2724.933333,Trop/Subtrop Forests,-0.732750848,-3.065770226,-1.840548494,-1.656082738,0.958764699,-1.816419969,-1.108600882,-0.91929615,0.709988193,0.390042064,0.673824977,-1.010025878,0.525199612,0.393376498,-0.342674539,"(1652, 9633]",4.08073552130608,1.86050302094114,0.451272995889525
