ECO_ID,GF_H,GF_W,GF_SpCo,LC_A,LC_P,LC_SpCo,PH_D,PH_E,PH_SpCo,RS_F,RS_T,RS_SpCo,PT_M,PT_U,PT_SpCo,LS_C,LS_S,LS_SpCo,LM_E,LM_L,LM_SpCo,LV_P,LV_R,LV_SpCo,SS_B,SS_U,SS_SpCo,IF_D,IF_I,IF_SpCo,OP_E,OP_H,OP_SpCo,FS_A,FS_Z,FS_SpCo,PF_C,PF_S,PF_SpCo,FT_D,FT_F,FT_SpCo,FD_D,FD_I,FD_SpCo
10101,0.32089552238806,0.67910447761194,134,0.0144927536231884,0.985507246376812,138,0.0675675675675676,0.932432432432432,74,0.928571428571429,0.0714285714285714,14,0.272727272727273,0.727272727272727,132,0.201492537313433,0.798507462686567,134,0.746835443037975,0.253164556962025,79,0.353535353535354,0.646464646464647,99,0.618320610687023,0.381679389312977,131,0.283464566929134,0.716535433070866,127,0.259259259259259,0.740740740740741,135,0.746376811594203,0.253623188405797,138,0.683333333333333,0.316666666666667,120,0.515384615384615,0.484615384615385,130,0.386363636363636,0.613636363636364,132
10102,0.125,0.875,16,0,1,15,0.2,0.8,10,1,0,1,0.5,0.5,14,0,1,16,0.833333333333333,0.166666666666667,12,0.153846153846154,0.846153846153846,13,0.875,0.125,16,0.470588235294118,0.529411764705882,17,0.352941176470588,0.647058823529412,17,0.75,0.25,16,0.470588235294118,0.529411764705882,17,0.4375,0.5625,16,0.411764705882353,0.588235294117647,17
10103,0.25,0.75,48,0.0217391304347826,0.978260869565217,46,0.1,0.9,20,1,0,1,0.127659574468085,0.872340425531915,47,0.319148936170213,0.680851063829787,47,0.766666666666667,0.233333333333333,30,0.388888888888889,0.611111111111111,36,0.4375,0.5625,48,0.225,0.775,40,0.292682926829268,0.707317073170732,41,0.739130434782609,0.260869565217391,46,0.75,0.25,36,0.571428571428571,0.428571428571429,42,0.536585365853659,0.463414634146342,41
10104,0.269230769230769,0.730769230769231,26,0,1,24,0.1,0.9,10,0.666666666666667,0.333333333333333,3,0.192307692307692,0.807692307692308,26,0.384615384615385,0.615384615384615,26,0.8,0.2,15,0.4375,0.5625,16,0.518518518518519,0.481481481481482,27,0.25,0.75,24,0.4,0.6,25,0.62962962962963,0.37037037037037,27,0.695652173913044,0.304347826086957,23,0.692307692307692,0.307692307692308,26,0.521739130434783,0.478260869565217,23
10105,0.388928067700987,0.611071932299013,2836,0.0338738738738739,0.966126126126126,2775,0.162551440329218,0.837448559670782,972,0.868501529051988,0.131498470948012,327,0.271450265755505,0.728549734244495,2634,0.104810996563574,0.895189003436426,2910,0.755721128259713,0.244278871740287,1879,0.347571942446043,0.652428057553957,2224,0.690824705462335,0.309175294537665,2801,0.382374906646751,0.617625093353249,2678,0.414719218695501,0.585280781304499,2867,0.690444591904446,0.309555408095554,3014,0.624763347216963,0.375236652783037,2641,0.63049853372434,0.36950146627566,2728,0.451073117497272,0.548926882502728,2749
10106,0.170111287758347,0.829888712241653,629,0.0177133655394525,0.982286634460548,621,0.106508875739645,0.893491124260355,338,0.897435897435897,0.102564102564103,39,0.303182579564489,0.696817420435511,597,0.166666666666667,0.833333333333333,636,0.761670761670762,0.238329238329238,407,0.161825726141079,0.838174273858921,482,0.607431340872375,0.392568659127625,619,0.460714285714286,0.539285714285714,560,0.277070063694268,0.722929936305732,628,0.795918367346939,0.204081632653061,637,0.610108303249097,0.389891696750903,554,0.466442953020134,0.533557046979866,596,0.36734693877551,0.63265306122449,588
10107,0.289017341040462,0.710982658959538,519,0.0428571428571429,0.957142857142857,490,0.17351598173516,0.82648401826484,219,0.866666666666667,0.133333333333333,45,0.292585170340681,0.707414829659319,499,0.15678776290631,0.84321223709369,523,0.722560975609756,0.277439024390244,328,0.222513089005236,0.777486910994765,382,0.637254901960784,0.362745098039216,510,0.383157894736842,0.616842105263158,475,0.349146110056926,0.650853889943074,527,0.729241877256318,0.270758122743682,554,0.643010752688172,0.356989247311828,465,0.590196078431373,0.409803921568627,510,0.377952755905512,0.622047244094488,508
10108,0.0740740740740741,0.925925925925926,27,0,1,24,0.0625,0.9375,16,,,0,0.0740740740740741,0.925925925925926,27,0.111111111111111,0.888888888888889,27,0.777777777777778,0.222222222222222,18,0.0434782608695652,0.956521739130435,23,0.444444444444444,0.555555555555556,27,0.55,0.45,20,0.16,0.84,25,0.846153846153846,0.153846153846154,26,0.647058823529412,0.352941176470588,17,0.48,0.52,25,0.36,0.64,25
10109,0.504385964912281,0.495614035087719,228,0.123853211009174,0.876146788990826,218,0.233870967741935,0.766129032258065,124,0.423076923076923,0.576923076923077,52,0.296650717703349,0.703349282296651,209,0.131578947368421,0.868421052631579,228,0.575757575757576,0.424242424242424,165,0.274390243902439,0.725609756097561,164,0.695454545454545,0.304545454545455,220,0.355140186915888,0.644859813084112,214,0.311926605504587,0.688073394495413,218,0.79372197309417,0.20627802690583,223,0.526829268292683,0.473170731707317,205,0.712962962962963,0.287037037037037,216,0.431924882629108,0.568075117370892,213
10110,0.19672131147541,0.80327868852459,122,0.00806451612903226,0.991935483870968,124,0.015625,0.984375,64,1,0,2,0.333333333333333,0.666666666666667,120,0.155038759689923,0.844961240310077,129,0.752941176470588,0.247058823529412,85,0.203883495145631,0.796116504854369,103,0.5859375,0.4140625,128,0.521008403361345,0.478991596638655,119,0.341269841269841,0.658730158730159,126,0.821705426356589,0.178294573643411,129,0.548672566371681,0.451327433628319,113,0.518518518518519,0.481481481481482,108,0.44954128440367,0.55045871559633,109
