GlobalID,ECO_ID
G194556,10801
G163871,70202
G161936,31203
G074327,40134
G032583,60145
G294758,80421
G303323,60170
G181095,10117
G010092,80814
G105457,60128
G325646,51201
G272461,60228
G258314,40102
G149540,81211
G137633,60138
G203305,60105
G060127,30704
G190862,60209
G043738,60150
G284048,50608
G113194,81330
G305261,31011
G291309,60145
G125267,80516
G083129,80418
G195685,31007
G113000,80441
G278989,60122
G195777,60710
G223179,40124
G008373,30125
G067619,50303
G191430,30723
G321911,61304
G156881,40121
G277561,81211
G295044,80101
G153113,81209
G226925,31203
G099186,80501
G255155,60112
G078255,61304
G029249,60153
G184086,60170
G323456,60145
G326209,80805
G042909,80815
G285060,50503
G155813,10703
G271297,80817
G140798,81018
G043104,80518
G119781,40146
G106733,30102
G112645,80608
G119449,80434
G333958,31403
G187556,61304
G160262,40206
G329539,50503
G042886,80804
G319793,51303
G115434,50811
G140261,51304
G049235,31203
G067740,50401
G268759,51306
G216227,60153
G292354,81009
G023630,50302
G179292,31203
G188738,60145
G274564,60101
G263876,81203
G330172,60217
G203589,60104
G148094,80413
G068376,50408
G052164,31322
G037522,30112
G004219,60301
G110709,10120
G098488,60124
G323845,60105
G125376,81017
G258943,80101
G321991,60160
G181349,40137
G298434,60125
G275067,80423
G159372,80434
G077225,80816
G045049,60136
G146748,60160
G096885,80101
G246133,30704
G113530,80427
G129531,50814
G274824,50522
G067822,30721
G099085,50524
G267602,51303
G330062,60708
G015799,10107
G081368,80435
G120384,80433
G028466,60145
G206099,60130
G170607,81020
G073081,11206
G046228,80432
G333593,50523
G317446,60129
G137762,30114
G266455,40115
G328548,40137
G305023,60182
G224609,50407
G008298,61002
G000628,40107
G174000,80437
G285341,80404
G088991,60104
G251263,10411
G273009,40118
G312672,80408
G266055,40111
G078920,81331
G281028,51101
G093517,51307
G141970,60704
G101426,40149
G334643,40137
G186782,30105
G288128,50417
G150331,81221
G112730,80441
G062836,60303
G214751,60703
G031044,80415
G266278,50518
G272423,41303
G183501,60306
G058560,11308
G018291,80515
G120474,30202
G072255,60205
G267707,81114
G115198,60121
G051760,60153
G159894,61008
G292494,81220
G310112,80102
G037713,31322
G190832,10120
G065497,81207
G190738,50416
G200847,60182
G083533,80809
G250758,80416
G307287,60167
G017131,81022
G239304,60145
G062239,80514
G092614,50302
G174507,60109
G335871,61010
G268382,30118
G267199,50813
G149060,60150
G262078,30118
G314497,80427
G293331,40501
G102823,60166
G003273,60119
G251967,40163
G012895,10122
G083738,80602
G107977,61201
G269154,80102
G163344,60124
G079599,11303
G227062,11210
G272391,10411
G029038,30125
G013383,10409
G214846,60170
G033414,40146
G225228,40102
G328518,60129
G132798,60167
G012889,40158
G108389,11307
G151415,60230
G193904,50403
G106792,60229
G068385,50303
G270623,60704
G105875,40201
G249054,10126
G106817,81206
G171100,31003
G269043,80810
G012008,40123
G256721,60308
G156078,60704
G104364,30130
G204862,60111
G020335,60129
G094754,50520
G066192,50701
G268452,61305
G053739,50815
G169752,80405
G128248,60703
G148823,60140
G172265,10801
G073176,60154
G265521,50529
G314500,80102
G005631,30718
G216508,50303
G008805,50512
G178188,60146
G058282,81220
G205369,10120
G149910,30113
G272954,60310
G061409,80411
G113512,50408
G059051,60704
G184710,30722
G296760,60228
G321782,50411
G135572,30725
G331339,60153
G115055,10705
G330490,30116
G064459,40121
G273835,10402
G203312,60160
G058898,51202
G331569,50415
G250395,80804
G040778,51306
G249728,30117
G277716,60137
G029595,60138
G313266,60131
G009810,11207
G193904,50801
G040232,11003
G321565,60201
G167429,11207
G271351,51202
G117781,80510
G029625,60143
G018796,50511
G114876,40149
G303918,60182
G258713,60140
G208529,60150
G133723,80418
G125106,51305
G110762,60310
G083139,51203
G265195,10709
G327354,80430
G320366,80408
G179971,80501
G274987,50801
G321494,50529
G274286,81203
G084225,80436
G183983,60115
G287503,10803
G042516,50525
G068362,50407
G083256,50521
G097471,50403
G264359,31009
G174633,60104
G302391,10125
G296025,80808
G197778,60143
G288149,51307
G072629,30124
G081146,50508
G070247,80608
G004219,51311
G167714,60128
G127495,80405
G180297,80405
G078414,80814
G029900,60107
G081527,51312
G041664,50528
G002060,30124
G029802,60174
G146116,60310
G154482,60166
G186748,30111
G166672,11202
G057540,51201
G100866,51101
G004811,80509
G161259,80417
G148504,30118
G297499,60204
G172522,51203
G147430,50803
G149138,60170
G322295,60121
G186838,30114
G271930,51301
G215145,51302
G095000,60153
G284055,80608
G285928,80436
G296091,10115
G262355,80406
G131310,50803
G157627,50523
G274082,30702
G308972,30102
G064556,81320
G077465,60128
G312691,10406
G063658,10803
G157207,30120
G298970,10402
G190492,81331
G105794,30722
G115424,40118
G074322,60206
G177621,60162
G175895,40118
G156258,30128
G102508,60115
G281243,60142
G185092,81211
G262346,80815
G026983,50413
G132824,50523
G292360,50515
G115210,60148
G210746,60709
G198261,60709
G261349,50501
G203642,40171
G272885,50801
G061061,30111
G182389,80102
G252953,51308
G188540,60174
G163106,60129
G064555,81217
G155730,31311
G083050,50505
G315803,60140
